year,state,county,share_medical_debt_coll,share_medical_debt_coll_quality
2023,01,001,0.0339623,1
2023,01,003,0.0383917,1
2023,01,005,0.0440587,1
2023,01,007,0.0709571,1
2023,01,009,0.0552735,1
2023,01,011,0.0403226,1
2023,01,013,0.0709779,1
2023,01,015,0.1076271,1
2023,01,017,0.0406091,1
2023,01,019,0.08625,1
2023,01,021,0.0685401,1
2023,01,023,0.0583333,1
2023,01,025,0.0458333,1
2023,01,027,0.0578358,1
2023,01,029,0.0804829,1
2023,01,031,0.0819277,1
2023,01,033,0.0621153,1
2023,01,035,0.0652921,1
2023,01,037,0.0723684,1
2023,01,039,0.1005868,1
2023,01,041,0.0678295,1
2023,01,043,0.0760573,1
2023,01,045,0.0676038,1
2023,01,047,0.0623202,1
2023,01,049,0.090301,1
2023,01,051,0.0415603,1
2023,01,053,0.0616438,1
2023,01,055,0.0821701,1
2023,01,057,0.0358491,1
2023,01,059,0.0850112,1
2023,01,061,0.0787402,1
2023,01,063,0.0478261,1
2023,01,065,0.0537428,1
2023,01,067,0.0251799,1
2023,01,069,0.044553,1
2023,01,071,0.1002401,1
2023,01,073,0.0739003,1
2023,01,075,0.0461165,1
2023,01,077,0.0471986,1
2023,01,079,0.0796209,1
2023,01,081,0.0241851,1
2023,01,083,0.0661786,1
2023,01,085,0.0779221,1
2023,01,087,0.0418848,1
2023,01,089,0.0586176,1
2023,01,091,0.041806,1
2023,01,093,0.0406593,1
2023,01,095,0.0831117,1
2023,01,097,0.0798892,1
2023,01,099,0.1086956,1
2023,01,101,0.0586875,1
2023,01,103,0.0877014,1
2023,01,105,0.0675105,1
2023,01,107,0.0598911,1
2023,01,109,0.131019,1
2023,01,111,0.0790569,1
2023,01,113,0.1095968,1
2023,01,115,0.05625,1
2023,01,117,0.0547021,1
2023,01,119,0.0537313,1
2023,01,121,0.1145038,1
2023,01,123,0.0392593,1
2023,01,125,0.0362982,1
2023,01,127,0.0991401,1
2023,01,129,0.0761523,1
2023,01,131,0.0422535,1
2023,01,133,0.0696721,1
2023,02,013,NA,NA
2023,02,016,0.0740741,1
2023,02,020,0.037421,1
2023,02,050,0.0215827,1
2023,02,060,NA,NA
2023,02,063,0.010929,1
2023,02,066,0.0135135,1
2023,02,068,0.08,1
2023,02,070,0.0210526,1
2023,02,090,0.0488936,1
2023,02,100,0.027027,1
2023,02,105,0.037037,1
2023,02,110,0.022869,1
2023,02,122,0.0346562,1
2023,02,130,0.0283224,1
2023,02,150,0.0147059,1
2023,02,158,0.0254237,1
2023,02,164,NA,NA
2023,02,170,0.0314361,1
2023,02,180,0.0182927,1
2023,02,185,0.0197368,1
2023,02,188,0.0542636,1
2023,02,195,0,1
2023,02,198,0.0273973,1
2023,02,220,0.0393013,1
2023,02,230,NA,NA
2023,02,240,0.0410959,1
2023,02,275,0.0166667,1
2023,02,282,NA,NA
2023,02,290,0.0315789,1
2023,04,001,0.0651934,1
2023,04,003,0.0624082,1
2023,04,005,0.0655257,1
2023,04,007,0.0689445,1
2023,04,009,0.084,1
2023,04,011,0.1013825,1
2023,04,012,0.0365854,1
2023,04,013,0.055147,1
2023,04,015,0.044341,1
2023,04,017,0.068,1
2023,04,019,0.0398417,1
2023,04,021,0.0588462,1
2023,04,023,0.0505457,1
2023,04,025,0.0607091,1
2023,04,027,0.0514295,1
2023,05,001,0.036036,1
2023,05,003,0.1362916,1
2023,05,005,0.1066056,1
2023,05,007,0.0573726,1
2023,05,009,0.0637611,1
2023,05,011,0.1446541,1
2023,05,013,0.1923077,1
2023,05,015,0.0598389,1
2023,05,017,0.1941748,1
2023,05,019,0.0504886,1
2023,05,021,0.1512415,1
2023,05,023,0.0357895,1
2023,05,025,0.1032864,1
2023,05,027,0.1169591,1
2023,05,029,0.0486322,1
